Now Shopping by,Ora acquisti per
Previous,Precedente
Remove,Rimuovi
Remove This Item,Rimuovi questo articolo
Shop By,Acquista per
Clear All,Cancella tutto
Shopping Options,Opzioni di acquisto
Welcome to %store_name,Benvenuto su %store_name
"%name,","%name,"
Welcome to %store_name.,Benvenuto su %store_name.
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Per accedere al nostro sito, usa queste credenziali durante il checkout o nella pagina <a href=""%customer_url"">Il mio account</a>:"
Email:,Email:
Password:,Password:
Password you set when creating account,Password impostata durante la creazione dell'account
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Hai dimenticato la password? Clicca <a href=""%reset_url"">qui</a> per reimpostarla."
"When you sign in to your account, you will be able to:",Accedendo al tuo account potrai:
Quick Checkout,Checkout veloce
Proceed through checkout faster,Completa il checkout più velocemente
Order Status,Stato dell'ordine
Check the status of orders,Controlla lo stato degli ordini
Manage Addresses,Gestisci indirizzi
Store alternative addresses,Salva indirizzi alternativi
For shipping to multiple family members and friends,Per spedire a più familiari e amici
Order History,Storico ordini
View past orders,Visualizza ordini passati
Footer,Piè di pagina
About Us,Chi siamo
Customer Service,Servizio clienti
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Orari di apertura:<br /><span class=""no-link"">%store_hours</span>."
Credit memo for your %store_name order,Nota di credito per il tuo ordine %store_name
Thank you for your order from %store_name.,Grazie per il tuo ordine su %store_name.
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Puoi controllare lo stato del tuo ordine <a href=""%account_url"">accedendo al tuo account</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Se hai domande sul tuo ordine, puoi scriverci a <a href=""mailto:%store_email"">%store_email</a>."
Your Credit Memo #%creditmemo_id for Order #%order_id,La tua nota di credito #%creditmemo_id per l'ordine #%order_id
Billing Info,Informazioni di fatturazione
Shipping Info,Informazioni di spedizione
Payment Method,Metodo di pagamento
Shipping Method,Metodo di spedizione
Update to your %store_name credit memo,Aggiornamento della tua nota di credito %store_name
Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.,Il tuo ordine #%increment_id è stato aggiornato con lo stato <strong>%order_status</strong>.
Invoice for your %store_name order,Fattura per il tuo ordine su %store_name
Your Invoice #%invoice_id for Order #%order_id,La tua fattura #%invoice_id per l'ordine #%order_id
Update to your %store_name invoice,Aggiornamento della fattura %store_name
Your %store_name order confirmation,Conferma dell'ordine %store_name
"%customer_name,","%customer_name,"
Once your package ships we will send you a tracking number.,Ti invieremo un numero di tracciamento non appena il pacco sarà spedito.
"Your Order <span class=""no-link"">#%increment_id</span>","Il tuo ordine <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Effettuato il <span class=""no-link"">%created_at</span>"
Update to your %store_name order,Aggiornamento del tuo ordine %store_name
Your %store_name order has shipped,Il tuo ordine %store_name è stato spedito
Your shipping confirmation is below. Thank you again for your business.,La conferma della spedizione è riportata di seguito. Grazie per il tuo acquisto.
Your Shipment #%shipment_id for Order #%order_id,La tua spedizione #%shipment_id per l'ordine #%order_id
Update to your %store_name shipment,Aggiornamento della spedizione %store_name
Address Book,Rubrica
Account Information,Informazioni account
