id;action_id;capability_id;comment
1;1;1;SuperAdminPolicy
2;1;2;SuperAdminPolicy
3;1;3;SuperAdminPolicy
4;1;4;SuperAdminPolicy
5;1;5;SuperAdminPolicy
6;1;6;SuperAdminPolicy
7;1;7;SuperAdminPolicy
8;1;8;SuperAdminPolicy
9;1;9;SuperAdminPolicy
10;1;10;SuperAdminPolicy
11;1;11;SuperAdminPolicy
12;1;12;SuperAdminPolicy
13;1;13;SuperAdminPolicy
14;1;14;SuperAdminPolicy
15;1;15;SuperAdminPolicy
16;1;16;SuperAdminPolicy
17;1;17;SuperAdminPolicy
18;1;18;SuperAdminPolicy
19;1;19;SuperAdminPolicy
20;1;20;SuperAdminPolicy
21;1;21;SuperAdminPolicy
22;1;22;SuperAdminPolicy
23;1;23;SuperAdminPolicy
24;1;24;SuperAdminPolicy
25;1;25;SuperAdminPolicy
26;1;26;SuperAdminPolicy
27;1;27;SuperAdminPolicy
28;1;28;SuperAdminPolicy
29;1;29;SuperAdminPolicy
30;1;30;SuperAdminPolicy
31;1;31;SuperAdminPolicy
32;1;32;SuperAdminPolicy
33;1;33;SuperAdminPolicy
34;1;34;SuperAdminPolicy
35;1;35;SuperAdminPolicy
36;1;36;SuperAdminPolicy
37;1;37;SuperAdminPolicy
38;1;38;SuperAdminPolicy
39;1;39;SuperAdminPolicy
40;1;40;SuperAdminPolicy
41;1;41;SuperAdminPolicy
42;1;42;SuperAdminPolicy
43;1;43;SuperAdminPolicy
44;1;44;SuperAdminPolicy
45;1;45;SuperAdminPolicy
46;1;46;SuperAdminPolicy
47;1;47;SuperAdminPolicy
48;1;48;SuperAdminPolicy
49;1;49;SuperAdminPolicy
50;1;50;SuperAdminPolicy
51;1;51;SuperAdminPolicy
52;1;52;SuperAdminPolicy
53;1;53;SuperAdminPolicy
54;1;54;SuperAdminPolicy
55;1;55;SuperAdminPolicy
56;1;56;SuperAdminPolicy
57;1;57;SuperAdminPolicy
58;1;58;SuperAdminPolicy
59;1;59;SuperAdminPolicy
60;1;60;SuperAdminPolicy
61;1;61;SuperAdminPolicy
62;1;62;SuperAdminPolicy
63;1;63;SuperAdminPolicy
64;1;64;SuperAdminPolicy
65;1;65;SuperAdminPolicy
66;1;66;SuperAdminPolicy
67;1;67;SuperAdminPolicy
68;1;68;SuperAdminPolicy
69;1;69;SuperAdminPolicy
70;1;70;SuperAdminPolicy
71;1;71;SuperAdminPolicy
72;1;72;SuperAdminPolicy
73;1;73;SuperAdminPolicy
74;1;74;SuperAdminPolicy
75;1;75;SuperAdminPolicy
76;2;42;ProfilePolicy
77;3;67;PoliciesReadOnlyPolicy
78;4;67;PoliciesReadOnlyPolicy
79;5;67;PoliciesReadOnlyPolicy
80;6;67;PoliciesReadOnlyPolicy
81;7;67;PoliciesReadOnlyPolicy
82;11;67;PoliciesReadOnlyPolicy
83;12;67;PoliciesReadOnlyPolicy
84;13;67;PoliciesReadOnlyPolicy
85;8;68;PoliciesWritePolicy
86;9;68;PoliciesWritePolicy
87;10;69;PoliciesAdminPolicy
88;14;69;PoliciesAdminPolicy
89;15;69;PoliciesAdminPolicy
90;17;70;UsersReadOnlyPolicy
91;18;70;UsersReadOnlyPolicy
92;19;70;UsersReadOnlyPolicy
93;20;70;UsersReadOnlyPolicy
94;21;71;UsersWritePolicy
95;22;71;UsersWritePolicy
96;23;72;UsersAdminPolicy
97;16;42;ProfilePolicy
98;24;42;ProfilePolicy
99;25;73;AnalyticsReadOnlyPolicy
100;26;74;XdevWritePolicy
101;27;75;XdevWritePolicy
102;28;42;ProfilePolicy
