"Frequently asked questions","Domande frequenti"
"Is there a free version of XPipe?","Esiste una versione gratuita di XPipe?"
"Yes. The Beta tier is completely free.You get ready made pipeline templates, a limited cloud dev environment, a trial Kubernetes lab, a single user, basic support, and a small quota of pipelines to experiment with XPipe before upgrading.","Sì. Il livello Beta è completamente gratuito: include modelli di pipeline pronti all’uso, un ambiente di sviluppo cloud limitato, un laboratorio Kubernetes di prova, un solo utente, assistenza di base e una piccola quota di pipeline per sperimentare XPipe prima di effettuare l’upgrade."
"Which pricing plan is right for me?","Quale piano tariffario fa al caso mio?"
"Beta is for individuals evaluating XPipe or small PoCs. Pro(€10000/year) for teams that need up to 30 users, 3 concurrent pipelines, IAM, a dedicated dev environment and pro support. Enterprise for organisations that need custom pipeline limits, private template packs, advanced real time deployment, bundled IaaS&monitoring and an SLA tailored to their workload (contact us for a quote).","Beta è pensato per singoli utenti che stanno valutando XPipe o piccoli PoC. Pro (10000€/anno) è rivolto a team che necessitano di fino a 30 utenti, 3 pipeline concorrenti, IAM, un ambiente di sviluppo dedicato e assistenza professionale. Enterprise è destinato alle organizzazioni che richiedono limiti di pipeline personalizzati, pacchetti di template privati, deployment in tempo reale avanzato, IaaS e monitoring integrati e un SLA su misura per il proprio carico di lavoro (contattateci per un preventivo)."
"How does the pricing work?","Come funziona la tariffazione?"
"Plans are billed yearly to keep billing simple and reserve capacity in our shared clusters. Pro includes up to 30 users; extra seats are €5/user/year.Enterprise is negotiated per project (we map required resources and SLA, then give you a flat annual fee).","I piani sono fatturati annualmente per semplificare la gestione amministrativa e riservare capacità nei nostri cluster condivisi. Pro include fino a 30 utenti; i posti aggiuntivi costano 5€/utente/anno. Enterprise viene negoziato per progetto: analizziamo le risorse e l’SLA necessari e poi proponiamo un canone annuale fisso."
"Can I pay monthly instead of yearly?","Posso pagare mensilmente anziché annualmente?"
"For Pro we currently accept yearly payment only (it keeps the admin overhead and card fees down, allowing us to offer more capacity per euro). Enterprise customers can negotiate quarterly or monthly terms as part of the contract.","Per il piano Pro accettiamo attualmente solo il pagamento annuale (riduce l’onere amministrativo e le commissioni sulle carte, consentendoci di offrire più capacità per ogni euro). I clienti Enterprise possono negoziare condizioni trimestrali o mensili all’interno del contratto."
"What happens if I hit my pipeline or user limit?","Cosa succede se supero il limite di pipeline o utenti?"
"XPipe will queue additional pipelines instead of rejecting them. You can upgrade at any time: add extra users (€5/user/year on Pro) request a higher concurrent pipeline quota (Enterprise).","XPipe metterà in coda le pipeline aggiuntive invece di rifiutarle. Puoi effettuare l’upgrade in qualsiasi momento: aggiungi utenti extra (5€/utente/anno sul piano Pro) oppure richiedi una quota di pipeline concorrenti più alta (Enterprise)."
"What if I change my mind?","E se cambio idea?"
"You can downgrade or cancel at the next renewal date. No questions asked refunds are available within the first 30 days of a Pro subscription; Enterprise refunds follow contractual terms agreed during onboarding.","Puoi effettuare il downgrade o annullare alla data del prossimo rinnovo. I rimborsi senza domande sono disponibili entro i primi 30 giorni di un abbonamento Pro; i rimborsi per Enterprise seguono i termini contrattuali concordati durante l’onboarding."
"Does XPipe offer plans for students?","XPipe offre piani per studenti?"
"Yes. We follow a model similar to JetBrains: verified students can request a free educational license of XPipe for non‑commercial learning projects. Simply send a university‑issued e‑mail (or valid student ID) to students@sindria.org and our team will activate your account.","Sì. Seguiamo un modello simile a JetBrains: gli studenti verificati possono richiedere una licenza educativa gratuita di XPipe per progetti di apprendimento non commerciali. Basta inviare un’e‑mail universitaria (o un valido tesserino studentesco) a students@sindria.org e il nostro team attiverà l’account."
"What payment methods do you accept?","Quali metodi di pagamento accettate?"
"At the moment we accept bank transfer only. Once commercial terms are agreed, we issue an invoice with the banking details and activate the subscription after the payment is received.","Al momento accettiamo solo bonifico bancario. Una volta concordati i termini commerciali, emettiamo fattura con i dettagli bancari e attiviamo l’abbonamento dopo aver ricevuto il pagamento."
"One workspace. ","Un unico workspace. "
"Built for builders who don’t have time to waste.","Pensato per chi costruisce e non ha tempo da perdere."
"Freelancer","Freelancer"
"Spin‑up projects in minutes and focus on shipping, not on YAML‑hell.","Avvia progetti in pochi minuti e concentrati sul rilascio, non sull’inferno degli YAML."
"Agencies","Agenzie"
"Multi‑tenant labs & reusable templates to keep every client pipeline under control.","Laboratori multi‑tenant e template riutilizzabili per mantenere sotto controllo le pipeline di ogni cliente."
"Enterprise","Enterprise"
"Governance, SSO, and unlimited scalability for mission‑critical workloads.","Governance, SSO e scalabilità illimitata per carichi di lavoro mission‑critical."
"Let's get started","Inizia subito"
